DateTime,AddedIPs,RemovedIPs
1526326625,12,2
1526328516,0,2
1526331062,8,1
1526333078,3,2
1526334911,6,4
1526336902,6,2
1526338786,4,0
1526340771,5,0
1526342572,2,1
1526344605,4,1
1526346673,26,3
1526348933,13,2
1526350849,12,2
1526352899,9,0
1526354892,2,0
1526356902,4,3
1526358743,5,1
1526360547,2,3
1526362622,5,1
1526364774,6,1
1526366699,2,3
1526368842,5,1
1526370773,10,3
1526372667,3,0
1526374906,7,2
1526376771,7,3
1526378701,3,4
1526380590,6,6
1526382641,7,2
1526384942,6,4
1526387103,5,3
1526388995,3,4
1526391175,6,3
1526393277,5,4
1526395238,3,3
1526397413,1,3
1526399299,10,2
1526401191,7,2
1526403397,5,1
1526405325,4,4
1526407317,17,3
1526409405,10,8
1526411366,4,5
1526413241,11,10
1526415832,7,2
1526417823,2,9
1526419699,1,3
1526421746,8,2
1526423816,2,8
1526425733,3,5
1526427654,2,5
1526429574,3,1
1526431494,5,2
1526433412,0,27
1526435332,2,10
1526437253,2,10
1526439195,1,6
1526441091,4,1
1526443033,13,0
1526444929,2,4
1526446911,2,0
1526448776,2,6
1526450699,0,4
1526452604,3,3
1526454554,1,4
1526456448,4,7
1526458354,3,4
1526460293,9,6
1526462220,0,4
1526464133,5,7
1526466052,8,3
1526467953,1,7
1526469885,4,9
1526471810,5,2
1526473853,6,22
1526475710,3,3
1526477575,5,1
1526479479,2,5
1526481394,1,2
1526483316,13,2
1526485226,5,7
1526487186,3,7
1526489314,4,7
1526491246,3,6
1526493155,8,16
1526495084,6,14
1526497010,2,5
1526498929,4,8
1526500908,3,5
1526502758,5,4
1526504685,4,3
1526506615,4,3
1526508543,8,6
1526511732,3,10
1526513810,2,6
1526515735,1,5
1526517647,7,2
1526519572,4,0
1526521469,2,4
1526523419,3,3
1526525331,1,0
1526527242,2,3
1526529171,0,12
1526531090,3,1
1526533007,3,3
1526534913,5,4
1526536912,1,0
1526538769,3,3
1526540692,5,1
1526542585,3,4
1526544538,3,3
1526546447,3,8
1526548373,4,0
1526550276,5,7
1526552211,6,4
1526554101,3,5
1526556047,2,3
1526557965,2,4
1526560110,19,6
1526562094,2,7
1526564211,0,4
1526566106,4,3
1526568023,6,0
1526569948,8,11
1526571863,3,3
1526574040,7,3
1526575956,14,4
1526577887,2,4
1526579792,4,10
1526581715,4,2
1526583710,6,5
1526585579,10,2
1526587487,5,2
1526589416,2,6
1526591316,12,3
1526593242,15,2
1526595169,3,5
1526597949,5,6
1526599964,12,3
1526601926,11,2
1526603812,2,5
1526605785,1,3
1526607644,4,2
1526609620,3,1
1526611466,9,0
1526613438,2,5
1526615343,1,1
1526617295,3,2
1526619165,4,5
1526621182,2,5
1526622988,1,2
1526624972,6,5
1526626897,7,5
1526628849,9,2
1526630719,5,3
1526632649,4,4
1526634528,1,3
1526636470,7,3
1526638372,30,5
1526640340,46,4
1526642209,6,1
1526644175,3,3
1526646364,3,18
1526648545,6,3
1526650365,6,0
1526652293,2,4
1526654178,1,5
1526656404,8,8
1526658260,3,4
1526660447,3,6
1526662345,2,11
1526664280,3,0
1526666209,2,3
1526668373,2,8
1526670274,2,4
1526672216,8,8
1526674138,9,8
1526676070,4,1
1526677973,3,16
1526679876,9,10
1526681819,22,7
1526683966,6,3
1526685887,5,7
1526688131,2,15
1526689971,2,6
1526691874,0,2
1526693787,31,1
1526695977,29,4
1526697893,2,6
1526699815,1,3
1526701728,3,4
1526703630,4,3
1526705571,3,5
1526707487,4,5
1526709435,2,2
1526711315,7,6
1526713320,13,7
1526715152,1,10
1526717089,0,6
1526719004,2,2
1526720936,1,2
1526722846,0,7
1526724756,3,30
1526726693,9,40
1526728609,3,6
1526730521,3,3
1526732457,2,3
1526734608,6,6
1526736529,3,8
1526738501,2,2
1526740372,155,1
1526742291,13,7
1526744190,5,4
1526746165,3,6
1526748027,1,4
1526749973,4,5
1526752034,3,5
1526754033,2,3
1526755936,13,1
1526757875,11,5
1526759776,11,12
1526761696,13,5
1526763884,5,4
1526765788,0,8
1526767710,5,18
1526769584,0,12
1526771578,6,4
1526773465,4,2
1526775407,2,4
1526777325,1,0
1526779219,2,11
1526781140,2,43
1526783082,3,12
1526784988,3,3
1526787157,8,3
1526789097,20,3
1526791000,8,6
1526792932,14,3
1526794832,6,2
1526796777,10,3
1526798673,12,16
1526800595,6,6
1526802548,5,1
1526804444,7,2
1526806363,8,2
1526808296,9,0
1526810195,66,2
1526812113,34,9
1526814099,9,3
1526816232,7,4
1526818117,5,3
1526820035,5,1
1526821991,7,7
1526823868,3,5
1526825807,12,0
1526827707,12,164
1526829651,12,7
1526831576,2,4
1526833489,5,2
1526835407,5,1
1526837330,7,3
1526839305,6,2
1526841167,4,2
1526843095,3,17
1526844986,1,10
1526846937,1,16
1526848847,4,4
1526850779,7,4
1526852692,10,1
1526854610,3,4
1526857498,11,6
1526859392,2,6
1526861460,3,1
1526863466,5,2
1526865393,8,2
1526867299,5,1
1526869167,3,2
1526871140,2,3
1526873029,1,4
1526874977,2,10
1526876829,53,3
1526878916,26,12
1526881005,25,3
1526882945,3,7
1526884843,2,9
1526886797,6,2
1526888687,3,4
1526890596,6,4
1526892573,1,7
1526894435,7,4
1526896385,1,59
