DateTime,AddedIPs,RemovedIPs
1525865952,21,13
1525869873,8,10
1525873973,9,8
1525878062,13,14
1525881923,11,5
1525885838,21,12
1525889828,16,16
1525893646,21,8
1525897483,25,21
1525901317,23,14
1525905595,12,11
1525909494,22,12
1525913577,14,13
1525917410,16,7
1525919576,16,9
1525923668,11,11
1525927500,15,10
1525931332,13,9
1525935411,18,7
1525939495,19,8
1525943574,22,16
1525947649,17,26
1525951718,16,15
1525955818,5,9
1525957740,16,6
1525961827,10,10
1525965643,8,9
1525969398,11,10
1525973323,6,20
1525977334,7,17
1525981152,14,20
1525985331,17,13
1525989182,6,19
1525993918,11,11
1525996137,13,12
1526000220,6,16
1526004307,15,17
1526008396,8,16
1526012224,0,19
1526016292,6,16
1526018217,7,13
1526022060,2,19
1526025895,8,13
1526029973,8,26
1526031867,0,286
1526322784,7111,0
1526324695,39,22
1526326628,31,24
1526328519,33,20
1526331065,51,11
1526333082,39,23
1526334914,14,12
1526336906,16,13
1526338790,12,15
1526340774,21,14
1526342574,18,22
1526344608,16,16
1526346675,38,18
1526348935,21,15
1526350852,15,15
1526352902,15,17
1526354895,10,17
1526356915,7,10
1526358746,25,7
1526360551,19,13
1526362626,15,9
1526364778,24,18
1526366703,10,17
1526368846,14,10
1526370776,13,4777
1526372669,20,1073
1526374909,20,25
1526376773,16,14
1526378704,19,7
1526380593,81,11
1526382644,9,14
1526384945,7,15
1526387107,21,25
1526388998,15,17
1526391178,20,18
1526393280,14,11
1526395241,12,13
1526397416,18,9
1526399302,7,17
1526401194,13,22
1526403400,16,20
1526405328,7,29
1526407320,12,39
1526409408,36,29
1526411371,19,26
1526413244,13,21
1526415836,19,27
1526417827,19,26
1526419703,15,25
1526421750,19,20
1526423820,5,17
1526425737,1716,15
1526427659,8000,11
1526429578,6258,20
1526431499,15,14
1526433416,6,35
1526435336,16,17
1526437257,10,13
1526439199,9,21
1526441096,10,15
1526443037,2,9
1526444934,7,23
1526446915,13,19
1526448780,7,20
1526450703,10,18
1526452608,8,14
1526454558,1375,14
1526456452,5601,12
1526458358,4994,15
1526460297,12,25
1526462224,18,15
1526464138,12,22
1526466056,9,67
1526467958,5,18
1526469891,6,15
1526471815,8,20
1526473858,10,17
1526475715,35,16
1526477580,17,29
1526479484,20,17
1526481399,5,18
1526483321,7,28
1526485232,12,19
1526487191,7,13
1526489319,5,13
1526491251,12,6
1526493160,10,9
1526495090,34,17
1526497015,39,12
1526498935,37,9
1526500914,30,14
1526502764,26,14
1526504690,35,17
1526506620,25,13
1526508550,26,15
1526511738,22,159
1526513815,27,7347
1526515739,19,5987
1526517652,23,16
1526519577,22,11
1526521473,16,23
1526523425,25,10
1526525335,15,8
1526527246,21,13
1526529175,13,0
1526531094,12,13
1526533011,19,11
1526534918,25,5
1526536917,12,8
1526538773,16,12
1526540697,18,610
1526542589,14,6755
1526544541,18,6664
1526546450,13,510
1526548376,8,22
1526550280,13,16
1526552215,17,16
1526554104,14,9
1526556050,14,10
1526557969,9,17
1526560114,21,17
1526562098,11,38
1526564214,675,18
1526566110,6686,21
1526568027,6723,4
1526569952,580,10
1526571867,15,19
1526574046,23,10
1526575961,15,9
1526577892,16,18
1526579796,11,13
1526581721,14,12
1526583714,8,14
1526585584,78,17
1526587491,420,11
1526589420,16,14
1526591320,8,30
1526593246,10,20
1526595174,11,27
1526597953,16,16
1526599968,12,18
1526601930,9,12
1526603816,7,21
1526605789,8,16
1526607647,15,12
1526609624,5,21
1526611470,16,14
1526613442,6,20
1526615346,5,23
1526617298,16,18
1526619168,4,10
1526621185,8,19
1526622991,18,13
1526624975,7,18
1526626900,6,20
1526628852,11,16
1526630722,11,20
1526632653,14,14
1526634531,11,9
1526636473,8,13
1526638375,11,14
1526640343,10,16
1526642212,10,16
1526644178,8,18
1526646367,5,22
1526648548,6,21
1526650368,10,15
1526652296,8,6711
1526654180,9,6446
1526656407,12,1474
1526658262,9,15
1526660450,13,33
1526662348,9,21
1526664283,10,38
1526666212,11,18
1526668376,15,21
1526670276,15,18
1526672219,17,171
1526674141,9,511
1526676072,36,19
1526677975,40,15
1526679879,38,11
1526681822,46,16
1526683969,35,19
1526685889,35,12
1526688134,36,21
1526689974,23,12
1526691877,16,17
1526693789,26,14
1526695980,29,12
1526697896,23,20
1526699818,15,12
1526701731,13,13
1526703633,29,18
1526705573,17,9
1526707490,16,16
1526709438,17,27
1526711319,24,11
1526713323,15,8
1526715155,15,13
1526717092,19,11
1526719007,13,16
1526720939,23,10
1526722850,22,10
1526724759,17,8
1526726696,14,12
1526728614,11,13
1526730524,16,9
1526732461,12,12
1526734611,16,10
1526736533,11,16
1526738504,9,12
1526740375,18,15
1526742295,13,14
1526744194,17,10
1526746169,18,10
1526748031,12,7
1526749976,13,16
1526752038,20,10
1526754037,17,13
1526755939,13,14
1526757878,13,13
1526759779,12,19
1526761699,14,15
1526763886,15,18
1526765791,11,17
1526767713,17,18
1526769587,20,16
1526771581,15,19
1526773468,13,11
1526775410,18,10
1526777328,10,12
1526779222,10,18
1526781143,7,9
1526783085,16,13
1526784990,12,12
1526787160,17,15
1526789103,10,18
1526791003,10,19
1526792935,15,11
1526794835,15,10
1526796780,14,16
1526798676,30,14
1526800599,21,15
1526802552,13,15
1526804448,13,16
1526806367,7,23
1526808299,11,15
1526810198,8,20
1526812117,15,21
1526814102,15,11
1526816236,25,20
1526818120,20,15
1526820039,8,21
1526821994,19,21
1526823872,8,16
1526825811,12,23
1526827710,10,23
1526829654,14,28
1526831579,14,16
1526833492,8,20
1526835410,11,38
1526837332,15,28
1526839307,14,22
1526841170,17,29
1526843098,17,19
1526844989,14,10
1526846940,12,24
1526848850,11,24
1526850782,12,16
1526852694,8,21
1526854612,9,26
1526857501,26,32
1526859395,19,21
1526861463,11,18
1526863468,14,11
1526865396,11,11
1526867301,12,18
1526869169,23,20
1526871142,42,12
1526873032,13,15
1526874980,16,15
1526876832,10,13
1526878918,12,22
1526881008,10,14
1526882950,67,21
1526884846,12,18
1526886799,10,40
1526888690,6,12
1526890599,7,14
1526892576,13,10
1526894438,6,14
1526896389,1340,13
