DateTime,AddedIPs,RemovedIPs
1526469277,44,73
1526470443,46,113
1526471566,51,6
1526472861,84,85
1526474548,71,90
1526475749,74,80
1526477132,46,1
1526478145,71,84
1526479831,91,87
1526481740,143,89
1526483153,85,58
1526485342,103,118
1526486197,43,0
1526488100,71,69
1526488951,40,108
1526489784,36,0
1526490910,37,57
1526492553,48,134
1526493394,27,0
1526494531,49,67
1526495319,32,0
1526496936,53,136
1526498128,39,40
1526498902,23,0
1526501114,54,126
1526502527,42,0
1526504382,49,158
1526506116,45,8
1526507685,57,57
1526508934,28,104
1526511547,68,186
1526512777,22,4
1526514029,35,84
1526516080,67,112
1526517747,56,127
1526519673,48,55
1526521239,62,99
1526522186,46,1
1526523276,39,67
1526524534,43,88
1526525730,67,1
1526526952,63,81
1526527719,44,1
1526528546,35,105
1526529847,40,59
1526531311,50,0
1526532991,69,80
1526534075,46,57
1526535355,42,72
1526536532,35,20
1526537676,61,62
1526539232,45,117
1526540735,84,117
1526542112,75,1
1526542948,35,194
1526543785,41,0
1526544872,53,79
1526546131,70,103
1526547324,69,37
1526548534,55,85
1526549316,24,0
1526550556,72,184
1526552061,60,57
1526552902,38,0
1526554311,74,175
1526555660,85,79
1526556549,43,0
1526557356,36,117
1526558186,39,0
1526559334,61,145
1526560956,76,152
1526562332,60,83
1526563830,90,113
1526565055,68,27
1526566468,50,78
1526568150,82,91
1526568988,29,0
1526570063,64,43
1526571470,39,69
1526573662,58,63
1526574502,25,0
1526576190,68,206
1526577268,28,87
1526578433,63,97
1526579738,54,28
1526580868,47,72
1526582131,71,71
1526582545,10,0
1526583743,31,65
1526585101,60,0
1526586335,68,103
1526587657,80,78
1526589759,119,94
1526591668,69,88
1526593353,94,45
1526594191,37,0
1526595273,50,44
1526597783,106,76
1526598938,39,41
1526600432,84,81
1526602239,94,83
1526602467,5,0
1526603311,25,0
1526604629,49,95
1526605830,66,41
1526606917,68,0
1526608170,48,81
1526609433,32,51
1526611348,93,51
1526612187,42,0
1526613265,67,80
1526614393,63,71
1526614958,42,12
1526615793,43,1
1526616862,76,60
1526618558,60,58
1526619388,30,1
1526621312,131,99
1526622990,109,106
1526624150,50,50
1526624910,35,0
1526626224,43,136
1526627675,79,86
1526629344,83,124
1526631035,90,52
1526632955,78,98
1526633795,57,0
1526634862,43,44
1526636156,95,97
1526638218,142,83
1526640152,117,82
1526641311,94,62
1526642446,100,0
1526643634,122,131
1526644593,78,0
1526645736,93,64
1526647342,218,66
1526648545,105,135
1526650108,82,3
1526651736,105,157
1526652930,58,75
1526654071,82,87
1526655551,127,78
1526656470,61,5
1526657307,48,1
1526658459,81,99
1526659835,82,54
1526661327,111,55
1526662523,93,24
1526663735,73,42
1526665237,109,70
1526667334,155,59
1526668520,98,49
1526669729,122,16
1526670938,89,28
1526672134,119,43
1526672551,25,0
1526673736,107,45
1526674897,90,0
1526675314,23,0
1526676151,63,64
1526678071,118,53
1526679758,80,50
1526680590,25,0
1526681673,18,36
1526682844,46,36
1526684182,76,14
1526686102,92,40
1526687255,81,74
1526688872,133,36
1526689702,63,0
1526690542,74,84
1526692467,122,64
1526694144,89,83
1526696065,105,70
1526696916,48,0
1526697753,27,114
1526699675,65,37
1526701156,81,55
1526703273,91,62
1526704943,68,92
1526706871,78,45
1526708556,105,68
1526709389,45,0
1526710481,77,58
1526712331,100,134
1526714438,109,57
1526714917,29,0
1526715752,37,111
1526716581,36,1
1526717661,34,73
1526718509,20,0
1526720134,66,109
1526721263,59,65
1526722567,87,79
1526724926,125,107
1526726438,152,114
1526728468,123,56
1526730030,102,109
1526730991,64,0
1526732137,95,67
1526732910,48,0
1526735663,159,162
1526736923,89,76
1526737341,39,32
1526738191,60,1
1526739338,75,53
1526740950,151,97
1526742866,91,32
1526743716,32,0
1526744550,39,72
1526746233,55,42
1526747432,42,65
1526748986,103,25
1526750916,110,56
1526752532,118,103
1526753675,128,41
1526754516,43,0
1526755350,55,118
1526756197,57,0
1526757330,111,70
1526758840,132,124
1526760265,134,46
1526761536,46,0
1526762730,34,118
1526764021,51,65
1526764474,22,0
1526765311,34,1
1526766999,49,100
1526768139,24,71
1526769746,81,95
1526771133,73,70
1526772330,48,0
1526773543,92,54
1526775034,114,74
1526776857,187,140
1526778864,259,49
1526780544,110,94
1526782115,73,57
1526783262,58,1
1526784934,73,137
1526786076,71,60
1526786927,49,0
1526787751,56,109
1526789309,177,62
1526790505,88,0
1526791826,130,108
1526793265,64,110
1526794126,69,0
1526794963,43,74
1526795786,39,0
1526796952,75,57
1526798442,107,78
1526799938,51,102
1526801161,66,0
1526802340,76,108
1526803558,102,70
1526804072,41,0
1526804918,70,0
1526805754,107,149
1526807682,216,102
1526808505,55,0
1526809345,31,109
1526811263,126,126
1526812534,63,128
1526813752,82,69
1526814878,105,96
1526816442,103,128
1526818234,95,252
1526819451,80,86
1526821842,185,103
1526823047,60,89
1526825677,169,166
1526826506,49,0
1526828201,117,145
1526829334,58,94
1526830947,88,161
1526831795,96,1
1526832941,164,83
1526833712,88,2
1526835386,225,149
1526836543,142,89
1526837305,64,0
1526839490,148,297
1526840616,69,4
1526841935,76,166
1526843089,60,111
1526845250,105,182
1526846197,92,0
1526847276,114,125
1526848555,88,93
1526850349,106,59
1526851734,79,2
1526853030,82,47
1526854476,51,96
1526857527,189,205
1526858078,24,0
1526859754,112,183
1526860599,120,1
1526862504,252,82
1526863378,129,134
1526864757,98,69
1526866957,160,97
1526867793,52,2
1526868943,93,37
1526870591,144,107
1526872246,165,67
1526874168,170,87
1526876070,220,53
1526877752,138,101
1526878596,59,0
1526879738,99,113
1526881354,94,148
1526883047,93,58
1526884372,88,75
1526885734,91,21
1526886937,67,49
1526887705,52,1
1526889342,101,74
1526890539,67,45
1526892302,75,145
1526892992,40,0
1526894137,70,63
1526895235,70,153
