DateTime,AddedIPs,RemovedIPs
1526020103,1,0
1526022046,1,1
1526025880,2,2
1526029957,1,4
1526031853,0,35
1526322765,94,0
1526324680,3,4
1526326614,16,2
1526328505,7,3
1526331051,2,2
1526333066,2,5
1526334898,5,5
1526336889,5,2
1526338774,3,1
1526340759,3,1
1526342559,5,2
1526344592,3,1
1526346661,2,1
1526348921,2,6
1526350837,4,2
1526352774,2,1
1526354676,0,1
1526356615,3,0
1526358527,1,4
1526360470,3,0
1526362609,2,2
1526364761,2,2
1526366685,0,1
1526368830,1,2
1526370760,2,5
1526372655,8,0
1526374885,3,0
1526376760,3,2
1526378690,3,0
1526380578,3,0
1526382630,6,4
1526384930,5,1
1526387091,2,1
1526388984,2,0
1526391165,1,3
1526393265,1,1
1526395227,2,2
1526397401,4,2
1526399288,3,3
1526401179,1,1
1526403385,6,6
1526405313,6,2
1526407252,2,1
1526409393,1,1
1526411346,1,2
1526413231,1,4
1526415821,2,2
1526417811,5,25
1526421712,3,7
1526423805,3,2
1526425722,0,4
1526427642,1,3
1526429562,2,5
1526431482,3,4
1526433399,2,1
1526435319,3,0
1526437239,3,3
1526439174,2,2
1526441078,1,0
1526443021,0,2
1526444917,0,2
1526446859,0,3
1526448763,1,2
1526450686,0,2
1526454541,5,1
1526456435,1,1
1526458340,1,8
1526460278,2,3
1526462206,2,2
1526464120,1,2
1526466035,2,4
1526467940,2,4
1526469872,5,6
1526471797,3,3
1526473839,2,3
1526475662,2,1
1526477561,2,1
1526479465,2,0
1526481381,1,2
1526483302,17,5
1526485213,4,3
1526487172,3,1
1526489301,2,6
1526491233,3,4
1526493141,5,3
1526495072,1,1
1526496997,2,1
1526498917,2,2
1526500860,4,1
1526502744,1,3
1526504672,4,3
1526506602,2,2
1526508525,0,2
1526511718,4,3
1526513798,3,1
1526515722,4,1
1526517635,6,2
1526519560,3,2
1526521456,4,2
1526523407,2,2
1526525319,2,3
1526527230,0,1
1526529159,3,0
1526531079,6,0
1526532996,5,0
1526534903,1,1
1526536881,1,0
1526538758,1,0
1526540679,1,4
1526542573,1,1
1526544527,2,2
1526546436,2,2
1526548362,1,2
1526550264,3,1
1526552201,0,2
1526554091,5,1
1526556036,1,5
1526557955,2,3
1526560099,7,3
1526562082,4,3
1526564199,12,4
1526568010,0,1
1526569936,3,18
1526571850,2,3
1526574027,2,2
1526575945,3,3
1526577876,1,3
1526579781,2,3
1526581704,5,0
1526584582,4,2
1526586593,0,5
1526588420,2,3
1526590478,6,2
1526592756,3,5
1526594686,4,0
1526596574,5,0
1526598381,0,3
1526600423,1,4
1526602350,2,6
1526604271,2,3
1526606197,7,3
1526608112,2,4
1526610030,0,2
1526611963,3,1
1526613881,1,0
1526615802,3,3
1526617717,0,3
1526620578,1,3
1526622499,1,2
1526624421,0,2
1526626341,3,2
1526628270,2,1
1526630185,2,1
1526632098,2,2
1526634071,1,2
1526635941,2,3
1526637869,4,2
1526639788,0,3
1526641703,1,3
1526643621,3,1
1526646357,2,10
1526648536,1,3
1526650357,3,8
1526652284,5,1
1526656397,1,2
1526658252,1,3
1526660439,3,2
1526662337,2,3
1526664273,3,1
1526666202,3,2
1526668366,1,6
1526670267,3,1
1526672209,3,3
1526674131,3,2
1526676062,3,4
1526677964,5,4
1526679869,2,1
1526681812,1,6
1526683959,3,4
1526685879,3,1
1526688069,2,2
1526689963,2,3
1526691866,2,4
1526693778,2,2
1526695743,2,2
1526697886,3,3
1526701721,2,3
1526703624,3,1
1526705564,2,1
1526709428,1,1
1526711308,1,1
1526713258,6,2
1526715143,1,3
1526717083,3,2
1526718997,4,3
1526720929,3,0
1526722840,0,3
1526724749,2,2
1526726686,1,0
1526728597,1,3
1526730513,0,1
1526732449,0,2
1526734600,1,2
1526736521,1,1
1526738438,2,7
1526740364,2,2
1526742282,0,1
1526744181,6,1
1526746156,2,3
1526748018,2,1
1526749964,3,3
1526752025,2,3
1526754025,1,1
1526755927,2,4
1526757866,3,3
1526759767,2,1
1526761687,3,5
1526763874,2,5
1526765779,3,5
1526767701,2,1
1526769575,2,2
1526771569,2,3
1526773456,4,1
1526775398,2,1
1526777316,6,4
1526779210,2,3
1526781131,1,1
1526783074,2,1
1526784979,1,3
1526787149,1,0
1526789080,0,2
1526790991,1,2
1526792923,0,1
1526794822,1,0
1526796767,4,1
1526798664,2,6
1526800585,0,2
1526802537,2,3
1526804434,2,2
1526806352,5,3
1526808284,2,1
1526810184,1,0
1526812102,3,3
1526814058,3,1
1526816222,3,0
1526818106,42,0
1526820025,3,1
1526821980,2,1
1526823856,1,1
1526825795,1,2
1526827695,0,1
1526829640,4,2
1526831566,4,5
1526833479,4,3
1526835397,2,2
1526837321,5,3
1526839291,3,1
1526841158,1,1
1526843085,3,5
1526844976,4,2
1526846928,3,4
1526848838,4,1
1526850769,4,2
1526852682,4,3
1526854600,1,1
1526857488,5,4
1526859382,4,2
1526861451,6,3
1526863455,5,6
1526865383,4,1
1526867288,4,1
1526869156,1,1
1526871130,5,1
1526873019,4,0
1526874967,4,0
1526876818,3,0
1526880995,3,1
1526882930,1,4
1526884833,3,1
1526886787,3,1
1526888676,5,2
1526890586,2,2
1526892563,3,6
1526894424,1,2
1526896374,1,1
